TimeStamp,ac,accepts,handled,requests,reading,writing,waiting
2025-03-06 14:42:12,1,3,3,3,0,1,0
2025-03-06 14:42:22,1,41,41,41,0,1,0
2025-03-06 14:42:32,2,264,264,263,0,1,1
2025-03-06 14:42:42,2,690,690,689,0,1,1
2025-03-06 14:42:52,2,1313,1313,1313,0,1,1
2025-03-06 14:43:02,2,2139,2139,2138,0,1,1
2025-03-06 14:43:12,1,3152,3152,3152,0,1,0
2025-03-06 14:43:22,7,4378,4378,4377,0,1,6
2025-03-06 14:43:32,2,5788,5788,5788,0,1,1
2025-03-06 14:43:42,1,7405,7405,7405,0,1,0
2025-03-06 14:43:52,1,9219,9219,9219,0,1,0
2025-03-06 14:44:02,1,11233,11233,11233,0,1,0
2025-03-06 14:44:12,1,13455,13455,13455,0,1,0
2025-03-06 14:44:22,1,15880,15880,15880,0,1,0
2025-03-06 14:44:32,2,18496,18496,18496,0,1,1
2025-03-06 14:44:42,3,21316,21316,21316,0,1,2
2025-03-06 14:44:52,1,24326,24326,24326,0,1,0
2025-03-06 14:45:02,1,27537,27537,27537,0,1,0
2025-03-06 14:45:12,1,30953,30953,30953,0,1,0
2025-03-06 14:45:22,1,34553,34553,34553,0,1,0
2025-03-06 14:45:32,4,38385,38385,38385,0,1,3
2025-03-06 14:45:42,3,42396,42396,42395,0,1,2
2025-03-06 14:45:52,5,46614,46614,46614,0,1,4
2025-03-06 14:46:02,1,51027,51027,51027,0,1,0
2025-03-06 14:46:12,2,55648,55648,55648,0,1,1
2025-03-06 14:46:22,1,60450,60450,60450,0,1,0
2025-03-06 14:46:32,1,65472,65472,65472,0,1,0
2025-03-06 14:46:42,2,70701,70701,70700,0,1,1
2025-03-06 14:46:52,7,76131,76131,76129,0,1,6
2025-03-06 14:47:02,3,81727,81727,81727,0,1,2
2025-03-06 14:47:12,2,87548,87548,87548,0,1,1
2025-03-06 14:47:22,1,93542,93542,93542,0,1,0
2025-03-06 14:47:32,1,99749,99749,99749,0,1,0
2025-03-06 14:47:42,1,106151,106151,106151,0,1,0
2025-03-06 14:47:52,1,112749,112749,112749,0,1,0
2025-03-06 14:48:02,1,119575,119575,119575,0,1,0
2025-03-06 14:48:12,1,126571,126571,126571,0,1,0
2025-03-06 14:48:22,4,133789,133789,133789,0,1,3
2025-03-06 14:48:32,1,141183,141183,141183,0,1,0
2025-03-06 14:48:42,2,148780,148780,148780,0,1,1
2025-03-06 14:48:52,2,156585,156585,156585,0,1,1
2025-03-06 14:49:02,1,164594,164594,164594,0,1,0
2025-03-06 14:49:12,2,172795,172795,172795,0,1,1
2025-03-06 14:49:22,2,181202,181202,181202,0,1,1
2025-03-06 14:49:32,1,189785,189785,189785,0,1,0
2025-03-06 14:49:42,1,198578,198578,198578,0,1,0
2025-03-06 14:49:52,3,207614,207614,207612,0,1,2
2025-03-06 14:50:02,2,216792,216792,216792,0,1,1
2025-03-06 14:50:12,3,226203,226203,226203,0,1,2
2025-03-06 14:50:22,1,235798,235798,235798,0,1,0
2025-03-06 14:50:32,1,245602,245602,245602,0,1,0
2025-03-06 14:50:42,3,255551,255551,255549,0,1,2
2025-03-06 14:50:52,2,265513,265513,265512,0,1,1
2025-03-06 14:51:02,1,275480,275480,275480,0,1,0
2025-03-06 14:51:12,1,282258,282258,282258,0,1,0
2025-03-06 16:15:26,1,282270,282270,282311,0,1,0
2025-03-06 16:15:36,1,282271,282271,282312,0,1,0
